index,text,label,occurence
"Index([794, 1462, 1485, 3263], dtype='int64')",tanah negara tanah rakyat tanah bangsa kuasa banding kuasa asing prabowo kuasa banding tentara tentara paruh rumah dinas banding tani milik lahan garap buruh tani banding tanah hak adat rakyat habis konsesi konglomerat kayak bagus bangsa pimpin orang model sila nilai,Sosial Budaya,4
"Index([3899], dtype='int64')",tanah negara tanah rakyat tanah bangsa kuasa banding kuasa asing prabowo kuasa banding tentara tentara paruh rumah dinas banding tani milik lahan garap buruh tani banding tanah hak adat rakyat habis konsesi konglomerat kayak bagus bangsa pimpin orang model sila nilai,Politik,1
"Index([641, 3965], dtype='int64')",tani paslon capres ganjar pranowo dengar aspirasi kuota pupuk tingkat dukung tani ganjarpranowopilihanumat ganjarmahfudrebound jnk,Sumber Daya Alam,2
"Index([727, 789, 1992, 4365, 4501], dtype='int64')",tani paslon capres ganjar pranowo dengar aspirasi kuota pupuk tingkat dukung tani ganjarpranowopilihanumat ganjarmahfudrebound jnk,Ekonomi,5
"Index([1806, 3472], dtype='int64')",tani paslon ganjar pranowo dengerin banget aspirasi kuota pupuk bantu tani ganjarpranowopilihanumat ganjarmahfudrebound jnk,Sosial Budaya,2
"Index([4754], dtype='int64')",tani paslon ganjar pranowo dengerin banget aspirasi kuota pupuk bantu tani ganjarpranowopilihanumat ganjarmahfudrebound jnk,Ekonomi,1
"Index([1041, 1805, 2346], dtype='int64')",tebet eco park hasil anies sih main kesana tuh enak adem temen gua percaya tuh jaksel,Pertahanan dan Keamanan,3
"Index([1158], dtype='int64')",tebet eco park hasil anies sih main kesana tuh enak adem temen gua percaya tuh jaksel,Demografi,1
"Index([1379, 1610], dtype='int64')",tebet eco park hasil anies sih main kesana tuh enak adem temen gua percaya tuh jaksel,Sosial Budaya,2
"Index([1456, 2176], dtype='int64')",tebet eco park hasil anies sih main kesana tuh enak adem temen gua percaya tuh jaksel,Ideologi,2
"Index([1029, 1143, 2010, 2089, 2381, 3069, 3433, 3582, 3994, 4308, 4416], dtype='int64')",terang nyata danau jakarta selatan depok damping air hujan salah karya inovatif gubenur anies baswedan rekam jejak,Sumber Daya Alam,11
"Index([4411], dtype='int64')",terang nyata danau jakarta selatan depok damping air hujan salah karya inovatif gubenur anies baswedan rekam jejak,Demografi,1
"Index([17, 4461], dtype='int64')",trending twitter anies bubble fenomena roket fans pop amin isme,Sosial Budaya,2
"Index([1978, 3703], dtype='int64')",trending twitter anies bubble fenomena roket fans pop amin isme,Ideologi,2
